Timestamp,BJPSenti1,BJPSenti2,BJPSenti3,BJPIntelliSenti,INCSenti1,INCSenti2,INCSenti3,INCIntelliSenti,AAPSenti1,AAPSenti2,AAPSenti3,AAPIntelliSenti
5/5/2014,0.381,0.837,0.074,0.307,0.11,0.594,0.075,0.035,0.178,0.527,0.16,0.018
5/6/2014,0.272,0.693,0.12,0.152,0.127,0.627,0.076,0.052,0.255,0.627,0.152,0.103
5/7/2014,0.19,0.576,0.14,0.05,0.054,0.45,0.066,-0.012,0.261,0.67,0.129,0.132
5/8/2014,0.242,0.678,0.115,0.127,0.072,0.358,0.13,-0.057,0.26,0.587,0.183,0.077
5/11/2014,0.28,0.687,0.128,0.152,0.193,0.716,0.077,0.117,0.321,0.684,0.148,0.173
5/12/2014,0.257,0.768,0.077,0.179,0.135,0.682,0.063,0.072,0.277,0.629,0.164,0.113
5/13/2014,0.229,0.669,0.113,0.115,0.107,0.485,0.114,-0.006,0.296,0.655,0.156,0.14
5/14/2014,0.217,0.693,0.096,0.12,0.085,0.353,0.155,-0.07,0.255,0.65,0.137,0.118
5/15/2014,0.255,0.726,0.096,0.159,0.109,0.446,0.135,-0.026,0.289,0.688,0.131,0.158
5/20/2014,0.297,0.784,0.082,0.215,0.127,0.425,0.172,-0.045,0.291,0.768,0.088,0.203
5/21/2014,0.264,0.727,0.099,0.165,0.177,0.717,0.07,0.107,0.195,0.551,0.159,0.036
5/22/2014,0.266,0.747,0.09,0.176,0.083,0.573,0.062,0.021,0.194,0.546,0.162,0.033
5/23/2014,0.251,0.745,0.086,0.165,0.173,0.759,0.055,0.118,0.212,0.599,0.142,0.07
5/24/2014,0.238,0.712,0.096,0.142,0.131,0.534,0.114,0.017,0.211,0.571,0.159,0.052
5/25/2014,0.292,0.78,0.083,0.21,0.104,0.519,0.096,0.008,0.216,0.566,0.166,0.051
5/26/2014,0.317,0.839,0.061,0.256,0.214,0.611,0.136,0.078,0.185,0.6,0.123,0.062
5/27/2014,0.295,0.832,0.059,0.235,0.254,0.83,0.052,0.202,0.232,0.623,0.14,0.091
5/28/2014,0.283,0.798,0.071,0.211,0.147,0.713,0.059,0.088,0.229,0.6,0.153,0.076
5/29/2014,0.255,0.777,0.073,0.182,0.079,0.524,0.072,0.007,0.35,0.742,0.122,0.228
5/30/2014,0.27,0.791,0.072,0.199,0.173,0.758,0.055,0.118,0.282,0.69,0.127,0.156
5/31/2014,0.222,0.71,0.091,0.131,0.108,0.602,0.072,0.037,0.279,0.659,0.144,0.135
